RA,Dec,Efficiency
1.06027,-0.74615,0.449
1.06027,-0.82469,0.228
1.06027,-0.90323,0.0
1.06027,-0.98177,0.0
1.06027,-1.06031,0.0
1.06027,-1.13885,0.0
1.06027,-1.21739,0.0
1.06027,-1.29593,0.0
1.06027,-1.37447,0.0
1.06027,-1.45301,0.0
1.06027,-1.53155,0.0
1.06027,0.03925,0.603
1.06027,0.11779,0.598
1.06027,0.19633,0.594
1.06027,0.27487,0.588
1.06027,0.35341,0.581
1.06027,0.43195,0.574
1.06027,0.51049,0.572
1.06027,0.58903,0.568
1.06027,0.66757,0.564
1.06027,0.74611,0.561
1.06027,0.82465,0.556
1.06027,0.90319,0.553
1.06027,0.98173,0.551
1.06027,1.06027,0.547
1.06027,1.13881,0.543
1.06027,1.21735,0.54
1.06027,1.29589,0.535
1.06027,1.37443,0.531
1.06027,1.45297,0.289
1.06027,1.53151,0.0
1.13881,-0.03929,0.619
1.13881,-0.11783,0.629
1.13881,-0.19637,0.648
1.13881,-0.27491,0.677
1.13881,-0.35345,0.724
1.13881,-0.43199,0.887
1.13881,-0.51053,0.888
1.13881,-0.58907,0.793
1.13881,-0.66761,0.67
1.13881,-0.74615,0.429
1.13881,-0.82469,0.028
1.13881,-0.90323,0.0
1.13881,-0.98177,0.0
1.13881,-1.06031,0.0
1.13881,-1.13885,0.0
1.13881,-1.21739,0.0
1.13881,-1.29593,0.0
1.13881,-1.37447,0.0
1.13881,-1.45301,0.0
1.13881,-1.53155,0.0
1.13881,0.03925,0.611
1.13881,0.11779,0.603
1.13881,0.19633,0.591
1.13881,0.27487,0.587
1.13881,0.35341,0.583
1.13881,0.43195,0.578
1.13881,0.51049,0.573
1.13881,0.58903,0.569
1.13881,0.66757,0.564
1.13881,0.74611,0.561
1.13881,0.82465,0.556
1.13881,0.90319,0.555
1.13881,0.98173,0.551
1.13881,1.06027,0.547
1.13881,1.13881,0.544
1.13881,1.21735,0.541
1.13881,1.29589,0.536
1.13881,1.37443,0.531
1.13881,1.45297,0.289
1.13881,1.53151,0.0
1.21735,-0.03929,0.615
1.21735,-0.11783,0.641
1.21735,-0.19637,0.659
1.21735,-0.27491,0.657
1.21735,-0.35345,0.716
1.21735,-0.43199,0.887
1.21735,-0.51053,0.888
1.21735,-0.58907,0.742
1.21735,-0.66761,0.661
1.21735,-0.74615,0.426
1.21735,-0.82469,0.0
1.21735,-0.90323,0.0
1.21735,-0.98177,0.0
1.21735,-1.06031,0.0
1.21735,-1.13885,0.0
1.21735,-1.21739,0.0
1.21735,-1.29593,0.0
1.21735,-1.37447,0.0
1.21735,-1.45301,0.0
1.21735,-1.53155,0.0
1.21735,0.03925,0.603
1.21735,0.11779,0.598
1.21735,0.19633,0.594
1.21735,0.27487,0.588
1.21735,0.35341,0.583
1.21735,0.43195,0.578
1.21735,0.51049,0.573
1.21735,0.58903,0.569
1.21735,0.66757,0.561
1.21735,0.74611,0.56
1.21735,0.82465,0.557
1.21735,0.90319,0.553
1.21735,0.98173,0.553
1.21735,1.06027,0.547
1.21735,1.13881,0.544
1.21735,1.21735,0.54
1.21735,1.29589,0.537
1.21735,1.37443,0.532
1.21735,1.45297,0.29
1.21735,1.53151,0.0
1.29589,-0.03929,0.619
1.29589,-0.11783,0.629
1.29589,-0.19637,0.648
1.29589,-0.27491,0.677
1.29589,-0.35345,0.724
1.29589,-0.43199,0.808
1.29589,-0.51053,0.836
1.29589,-0.58907,0.729
1.29589,-0.66761,0.645
1.29589,-0.74615,0.359
1.29589,-0.82469,0.0
1.29589,-0.90323,0.0
1.29589,-0.98177,0.0
1.29589,-1.06031,0.0
1.29589,-1.13885,0.0
1.29589,-1.21739,0.0
1.29589,-1.29593,0.0
1.29589,-1.37447,0.0
1.29589,-1.45301,0.0
1.29589,-1.53155,0.0
1.29589,0.03925,0.611
1.29589,0.11779,0.603
1.29589,0.19633,0.594
1.29589,0.27487,0.588
1.29589,0.35341,0.581
1.29589,0.43195,0.574
1.29589,0.51049,0.567
1.29589,0.58903,0.566
1.29589,0.66757,0.566
1.29589,0.74611,0.561
1.29589,0.82465,0.56
1.29589,0.90319,0.555
1.29589,0.98173,0.554
1.29589,1.06027,0.549
1.29589,1.13881,0.548
1.29589,1.21735,0.541
1.29589,1.29589,0.539
1.29589,1.37443,0.534
1.29589,1.45297,0.291
1.29589,1.53151,0.0
1.37443,-0.03929,0.619
1.37443,-0.11783,0.641
1.37443,-0.19637,0.659
1.37443,-0.27491,0.677
1.37443,-0.35345,0.724
1.37443,-0.43199,0.745
1.37443,-0.51053,0.81
1.37443,-0.58907,0.742
1.37443,-0.66761,0.545
1.37443,-0.74615,0.043
1.37443,-0.82469,0.0
1.37443,-0.90323,0.0
1.37443,-0.98177,0.0
1.37443,-1.06031,0.0
1.37443,-1.13885,0.0
1.37443,-1.21739,0.0
1.37443,-1.29593,0.0
1.37443,-1.37447,0.0
1.37443,-1.45301,0.0
1.37443,-1.53155,0.0
1.37443,0.03925,0.611
1.37443,0.11779,0.603
1.37443,0.19633,0.591
1.37443,0.27487,0.582
1.37443,0.35341,0.577
1.37443,0.43195,0.576
1.37443,0.51049,0.573
1.37443,0.58903,0.57
1.37443,0.66757,0.564
1.37443,0.74611,0.562
1.37443,0.82465,0.561
1.37443,0.90319,0.555
1.37443,0.98173,0.553
1.37443,1.06027,0.55
1.37443,1.13881,0.548
1.37443,1.21735,0.541
1.37443,1.29589,0.538
1.37443,1.37443,0.534
1.37443,1.45297,0.291
1.37443,1.53151,0.0
1.45297,-0.03929,0.615
1.45297,-0.11783,0.641
1.45297,-0.19637,0.659
1.45297,-0.27491,0.657
1.45297,-0.35345,0.665
1.45297,-0.43199,0.712
1.45297,-0.51053,0.81
1.45297,-0.58907,0.742
1.45297,-0.66761,0.421
1.45297,-0.74615,0.0
1.45297,-0.82469,0.0
1.45297,-0.90323,0.0
1.45297,-0.98177,0.0
1.45297,-1.06031,0.0
1.45297,-1.13885,0.0
1.45297,-1.21739,0.0
1.45297,-1.29593,0.0
1.45297,-1.37447,0.0
1.45297,-1.45301,0.0
1.45297,-1.53155,0.0
1.45297,0.03925,0.593
1.45297,0.11779,0.591
1.45297,0.19633,0.586
1.45297,0.27487,0.585
1.45297,0.35341,0.577
1.45297,0.43195,0.573
1.45297,0.51049,0.571
1.45297,0.58903,0.567
1.45297,0.66757,0.566
1.45297,0.74611,0.561
1.45297,0.82465,0.56
1.45297,0.90319,0.556
1.45297,0.98173,0.554
1.45297,1.06027,0.549
1.45297,1.13881,0.548
1.45297,1.21735,0.544
1.45297,1.29589,0.539
1.45297,1.37443,0.534
1.45297,1.45297,0.291
1.45297,1.53151,0.0
1.53151,-0.03929,0.608
1.53151,-0.11783,0.615
1.53151,-0.19637,0.627
1.53151,-0.27491,0.645
1.53151,-0.35345,0.658
1.53151,-0.43199,0.706
1.53151,-0.51053,0.81
1.53151,-0.58907,0.742
1.53151,-0.66761,0.386
1.53151,-0.74615,0.0
1.53151,-0.82469,0.0
1.53151,-0.90323,0.0
1.53151,-0.98177,0.0
1.53151,-1.06031,0.0
1.53151,-1.13885,0.0
1.53151,-1.21739,0.0
1.53151,-1.29593,0.0
1.53151,-1.37447,0.0
1.53151,-1.45301,0.0
1.53151,-1.53155,0.0
1.53151,0.03925,0.596
1.53151,0.11779,0.587
1.53151,0.19633,0.583
1.53151,0.27487,0.582
1.53151,0.35341,0.577
1.53151,0.43195,0.576
1.53151,0.51049,0.573
1.53151,0.58903,0.57
1.53151,0.66757,0.566
1.53151,0.74611,0.562
1.53151,0.82465,0.561
1.53151,0.90319,0.555
1.53151,0.98173,0.554
1.53151,1.06027,0.55
1.53151,1.13881,0.548
1.53151,1.21735,0.546
1.53151,1.29589,0.539
1.53151,1.37443,0.534
1.53151,1.45297,0.291
1.53151,1.53151,0.0
1.61005,-0.03929,0.599
1.61005,-0.11783,0.605
1.61005,-0.19637,0.614
1.61005,-0.27491,0.631
1.61005,-0.35345,0.665
1.61005,-0.43199,0.712
1.61005,-0.51053,0.81
1.61005,-0.58907,0.742
1.61005,-0.66761,0.386
1.61005,-0.74615,0.0
1.61005,-0.82469,0.0
1.61005,-0.90323,0.0
1.61005,-0.98177,0.0
1.61005,-1.06031,0.0
1.61005,-1.13885,0.0
1.61005,-1.21739,0.0
1.61005,-1.29593,0.0
1.61005,-1.37447,0.0
1.61005,-1.45301,0.0
1.61005,-1.53155,0.0
1.61005,0.03925,0.593
1.61005,0.11779,0.591
1.61005,0.19633,0.586
1.61005,0.27487,0.585
1.61005,0.35341,0.577
1.61005,0.43195,0.576
1.61005,0.51049,0.573
1.61005,0.58903,0.57
1.61005,0.66757,0.566
1.61005,0.74611,0.562
1.61005,0.82465,0.561
1.61005,0.90319,0.556
1.61005,0.98173,0.554
1.61005,1.06027,0.55
1.61005,1.13881,0.548
1.61005,1.21735,0.544
1.61005,1.29589,0.541
1.61005,1.37443,0.534
1.61005,1.45297,0.291
1.61005,1.53151,0.0
1.68859,-0.03929,0.608
1.68859,-0.11783,0.615
1.68859,-0.19637,0.627
1.68859,-0.27491,0.645
1.68859,-0.35345,0.665
1.68859,-0.43199,0.712
1.68859,-0.51053,0.781
1.68859,-0.58907,0.729
1.68859,-0.66761,0.576
1.68859,-0.74615,0.0
1.68859,-0.82469,0.0
1.68859,-0.90323,0.0
1.68859,-0.98177,0.0
1.68859,-1.06031,0.0
1.68859,-1.13885,0.0
1.68859,-1.21739,0.0
1.68859,-1.29593,0.0
1.68859,-1.37447,0.0
1.68859,-1.45301,0.0
1.68859,-1.53155,0.0
1.68859,0.03925,0.596
1.68859,0.11779,0.591
1.68859,0.19633,0.586
1.68859,0.27487,0.585
1.68859,0.35341,0.577
1.68859,0.43195,0.576
1.68859,0.51049,0.573
1.68859,0.58903,0.57
1.68859,0.66757,0.566
1.68859,0.74611,0.562
1.68859,0.82465,0.561
1.68859,0.90319,0.556
1.68859,0.98173,0.554
1.68859,1.06027,0.55
1.68859,1.13881,0.548
1.68859,1.21735,0.546
1.68859,1.29589,0.541
1.68859,1.37443,0.536
1.68859,1.45297,0.292
1.68859,1.53151,0.0
1.76713,-0.03929,0.608
1.76713,-0.11783,0.615
1.76713,-0.19637,0.627
1.76713,-0.27491,0.645
1.76713,-0.35345,0.665
1.76713,-0.43199,0.712
1.76713,-0.51053,0.816
1.76713,-0.58907,0.766
1.76713,-0.66761,0.607
1.76713,-0.74615,0.246
1.76713,-0.82469,0.0
1.76713,-0.90323,0.0
1.76713,-0.98177,0.0
1.76713,-1.06031,0.0
1.76713,-1.13885,0.0
1.76713,-1.21739,0.0
1.76713,-1.29593,0.0
1.76713,-1.37447,0.0
1.76713,-1.45301,0.0
1.76713,-1.53155,0.0
1.76713,0.03925,0.596
1.76713,0.11779,0.591
1.76713,0.19633,0.586
1.76713,0.27487,0.585
1.76713,0.35341,0.577
1.76713,0.43195,0.576
1.76713,0.51049,0.573
1.76713,0.58903,0.57
1.76713,0.66757,0.564
1.76713,0.74611,0.562
1.76713,0.82465,0.561
1.76713,0.90319,0.556
1.76713,0.98173,0.553
1.76713,1.06027,0.55
1.76713,1.13881,0.548
1.76713,1.21735,0.546
1.76713,1.29589,0.541
1.76713,1.37443,0.534
1.76713,1.45297,0.291
1.76713,1.53151,0.0
1.84567,-0.03929,0.608
1.84567,-0.11783,0.615
1.84567,-0.19637,0.627
1.84567,-0.27491,0.645
1.84567,-0.35345,0.665
1.84567,-0.43199,0.712
1.84567,-0.51053,0.93
1.84567,-0.58907,0.813
1.84567,-0.66761,0.613
1.84567,-0.74615,0.52
1.84567,-0.82469,0.268
1.84567,-0.90323,0.0
1.84567,-0.98177,0.0
1.84567,-1.06031,0.0
1.84567,-1.13885,0.0
1.84567,-1.21739,0.0
1.84567,-1.29593,0.0
1.84567,-1.37447,0.0
1.84567,-1.45301,0.0
1.84567,-1.53155,0.0
1.84567,0.03925,0.596
1.84567,0.11779,0.591
1.84567,0.19633,0.586
1.84567,0.27487,0.585
1.84567,0.35341,0.577
1.84567,0.43195,0.573
1.84567,0.51049,0.571
1.84567,0.58903,0.563
1.84567,0.66757,0.561
1.84567,0.74611,0.56
1.84567,0.82465,0.555
1.84567,0.90319,0.556
1.84567,0.98173,0.553
1.84567,1.06027,0.549
1.84567,1.13881,0.547
1.84567,1.21735,0.546
1.84567,1.29589,0.541
1.84567,1.37443,0.536
1.84567,1.45297,0.292
1.84567,1.53151,0.0
1.92421,-0.03929,0.608
